observacoes;nome_popular;nome_cientifico
2;tachã;Chauna torquata
6;irerê;Dendrocygna viduata
40;marreca-de-coleira;Callonetta leucophrys
7;marreca-ananaí;Amazonetta brasiliensis
1;marreca-cricri;Spatula versicolor
8;marreca-parda;Anas georgica
6;marreca-pardinha;Anas flavirostris
49;pombo-doméstico;Columba livia
1;pomba-asa-branca;Patagioenas picazuro
2;rolinha-roxa;Columbina talpacoti
1;rolinha-picuí;Columbina picui
14;avoante;Zenaida auriculata
4;anu-branco;Guira guira
1;alma-de-gato;Piaya cayana
2;andorinhão-do-temporal;Chaetura meridionalis
1;besourinho-de-bico-vermelho;Chlorostilbon lucidus
1;beija-flor-dourado;Hylocharis chrysura
2;saracura-do-banhado;Pardirallus sanguinolentus
3;saracuruçu;Aramides ypecaha
2;galinha-d'água;Gallinula galeata
7;quero-quero;Vanellus chilensis
22;jaçanã;Jacana jacana
1;maçarico-grande-de-perna-amarela;Tringa melanoleuca
1;maguari;Ciconia maguari
5;biguá;Nannopterum brasilianum
40;caraúna;Plegadis chihi
5;tapicuru;Phimosus infuscatus
1;socó-boi;Tigrisoma lineatum
4;socó-dorminhoco;Nycticorax nycticorax
1;garça-branca-pequena;Egretta thula
1;socozinho;Butorides striata
3;garça-branca-grande;Ardea alba
1;garça-moura;Ardea cocoi
14;urubu-preto;Coragyps atratus
2;gavião-caramujeiro;Rostrhamus sociabilis
3;martim-pescador-pequeno;Chloroceryle americana
1;pica-pau-verde-barrado;Colaptes melanochloros
4;carcará;Caracara plancus
1;carrapateiro;Daptrius chimachima
1;chimango;Daptrius chimango
2;falcão-peregrino;Falco peregrinus
127;caturrita;Myiopsitta monachus
10;periquito-de-encontro-amarelo;Brotogeris chiriri
8;joão-de-barro;Furnarius rufus
2;joão-botina-do-brejo;Phacellodomus ferrugineigula
4;curutié;Certhiaxis cinnamomeus
1;bichoita;Schoeniophylax phryganophilus
1;joão-teneném;Synallaxis spixi
1;guaracava-de-barriga-amarela;Elaenia flavogaster
1;noivinha;Xolmis irupero
1;suiriri-cavaleiro;Machetornis rixosa
5;bem-te-vi;Pitangus sulphuratus
2;suiriri;Tyrannus melancholicus
2;andorinha-de-sobre-branco;Tachycineta leucorrhoa
3;andorinha-grande;Progne chalybea
4;andorinha-do-campo;Progne tapera
2;balança-rabo-de-máscara;Polioptila dumicola
2;corruíra;Troglodytes musculus
8;sabiá-laranjeira;Turdus rufiventris
12;pardal;Passer domesticus
2;tico-tico;Zonotrichia capensis
3;polícia-inglesa-do-sul;Leistes superciliaris
5;chupim;Molothrus bonariensis
1;asa-de-telha;Agelaioides badius
60;garibaldi;Chrysomus ruficapillus
1;dragão;Pseudoleistes virescens
2;pia-cobra;Geothlypis velata
3;cardeal;Paroaria coronata
1;cavalaria;Paroaria capitata
2;sanhaço-cinzento;Thraupis sayaca
2;quem-te-vestiu;Poospiza nigrorufa
3;canário-da-terra;Sicalis flaveola
1;sabiá-do-banhado;Embernagra platensis
1;coleirinho;Sporophila caerulescens
2;coleiro-do-brejo;Sporophila collaris
1;tico-tico-rei;Coryphospingus cucullatus
2;cambacica;Coereba flaveola
1;galinha-d'angola;Numida meleagris
